ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
BLDDrex4ZSWBgPYaaH6CQCzkJXWfzCiiur9cSFJT8t3x,BPFLoaderUpgradeab1e11111111111111111111111,9MfZPVA6snx4Pp2nK8q5Ukap3Yvy3FaNbq4dUrUaSQ3r,CmiPgGfWeteicRisWRuJzn7L649zWpw9Qya8g3ey9cZt,100884028,853536 (0xd0620) bytes,5.94181464 SOL
4bcFeLv4nydFrsZqV5CgwCVrPhkQKsXtzfy2KyMz7ozM,BPFLoaderUpgradeab1e11111111111111111111111,HsUZsMSrGBvGBncppitE4Ug8qJypZwHRgStYzCEW8fiD,2FEYoBJYzbT8BcorP5QcgapSXm6Tm8TsPMtoTPW3ZaAU,102215172,1228144 (0x12bd70) bytes,8.54908632 SOL
CTMAxxk34HjKWxQ3QLZK1HpaLXmBveao3ESePXbiyfzh,BPFLoaderUpgradeab1e11111111111111111111111,A7s9K4gACMVHPAzTvz11JZjbSoZAUTd4QDQiQvguw8Wq,BjfQpbfb4u9bVMHaBQAbfcTkkTT4zQvAF2a68dQqhcyD,107514708,690640 (0xa89d0) bytes,4.80805848 SOL
5ocnV1qiCgaQR8Jb8xWnVbApfaygJ8tNoZfgPwsgx9kx,BPFLoaderUpgradeab1e11111111111111111111111,ALmAxhSP7TDWGMHWBLjD9qS71YjqxjN1ba6JLRdzdVy,CNcHyQPr26e9Ja97AdE19ERjT6Z2cvXDzab7x8TFHrgv,95017017,1037504 (0xfd4c0) bytes,7.22223192 SOL
AzcK7Dth1CG2PoYPpTAYRymctM8d9xoT3VEKos5kUKrH,BPFLoaderUpgradeab1e11111111111111111111111,mKfWKt6zarGE62hSF72pubwwBYRFSDbznBts6hy47HT,C18J89QhWVciZYNkSJGQFWXCThhTEmFS5PCqwvMHQ6y3,107495146,1063456 (0x103a20) bytes,7.40285784 SOL
FoNqK2xudK7TfKjPFxpzAcTaU2Wwyt81znT4RjJBLFQp,BPFLoaderUpgradeab1e11111111111111111111111,A3hZkm3A1e12zo8XBXFec5X4S5mLtRx561bQshGEd2J3,2FEYoBJYzbT8BcorP5QcgapSXm6Tm8TsPMtoTPW3ZaAU,106440419,1270880 (0x136460) bytes,8.84652888 SOL
HmdN7kVJbHE6dahoBx4WVdqZfXq9tvucAcio2aPrE2Eh,BPFLoaderUpgradeab1e11111111111111111111111,5AZWEB2yiRxc3FCJJgYh95LDmXCVZKcP7CcXGpMghfvq,9LMrLfCRqRXhWgVJXKQoRvASDcvjxBTVPsPv183gr6Rd,96526354,883312 (0xd7a70) bytes,6.1490556 SOL
6zcw5qXiCjScAxYLhxhuPgAo69PSoDijpnWTDGmDVDbv,BPFLoaderUpgradeab1e11111111111111111111111,7iBzQbBix53HDouENJ9ury12Uuwcbgf1QyjdN8v4pnnM,CzyHTwFSvbMXvaTs3oVrioju8WXjaNMtUPMyCpCdqP5p,106932938,346416 (0x54930) bytes,2.41225944 SOL
617jbWo616ggkDxvW1Le8pV38XLbVSyWY8ae6QUmGBAU,BPFLoaderUpgradeab1e11111111111111111111111,FZVQcmHqnbxxgKqbEsHMUunxBmyE5gaz4TznjVnxmSgv,BEhedg7HmCsygac3KtRfy4GnsQQPkVCuRJchMFpw8osA,100037175,373392 (0x5b290) bytes,2.6000124 SOL
3Katmm9dhvLQijAvomteYMo6rfVbY5NaCRNq9ZBqBgr6,BPFLoaderUpgradeab1e11111111111111111111111,9kfc7ZBxcBKo9FVvXcrUw8vsD6qNLEFZ4XLQSkB6hDcQ,7MBLg6oV5phip11YBbJPuq7u38kdzSi9PM3BifKSpLaR,106474146,417856 (0x66040) bytes,2.90948184 SOL
CyZ1SrCwv33hqMU8Shx6E1GhrY3PJ8yCcaMko5RpKaxt,BPFLoaderUpgradeab1e11111111111111111111111,59ss7b9hHKJ5azVHV8vCHaqGbRoFcAhE6SL1tj2EmpsH,6EpduYmguTXpJMtEKjYXvrmuusBFrTy2stPNzbDZrqUT,104504989,628480 (0x99700) bytes,4.37542488 SOL
HZaWndaNWHFDd9Dhk5pqUUtsmoBCqzb1MLu3NAh1VX6B,BPFLoaderUpgradeab1e11111111111111111111111,CWAL5v3Mfb1EmAPcJyHn9KcEuUVCoymKpWtTvE2h3pvs,HkPjfX5vNGnoddv9KdZRJiXDqhLCho3Jyo17YrX7nbxT,107369002,477216 (0x74820) bytes,3.32262744 SOL
